"Country","Language Name","Language Code","Classification","Family","Is ISO Recognized","Is Sign Language","1st Language Pop","Language Vitality","Alternate Names","GRN Numbers","Varieties (ROLV)","Continent","Country Code","Is Remaining V2025 Need"
"Bhutan","Brokkat [bro]","bro","Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Central, Southern","Sino-Tibetan","Yes","No","300","6b - Threatened","Brokskad (BT, L)Jokay (BT, L)","Brokkat (8372, GRN rec: No)","","Asia","BT","No"
"Bhutan","Bhutanese Sign Language [BT83]","BT83","","","No","Yes","260","5 - NA","","","","Asia","BT","No"
"Bhutan","Chocangacakha [cgk]","cgk","Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Central, Southern","Sino-Tibetan","Yes","No","30","6a - Vigorous","Chocangaca (BT, L)Chocha Ngacha (BT, L)Kursmadkha (BT, L)Maphekha (BT, L)rTsamangpa'i kha (BT, L)Rtsamangpa'ikha (BT, L)Tsagkaglingpa'ikha (BT, L)Tsamang (BT, L)","Chocangacakha (8898, GRN rec: Yes)","","Asia","BT","No"
"Bhutan","Dakpakha [dka]","dka","Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, East Bodish","Sino-Tibetan","Yes","No","2","6b - Threatened","Dakpa (BT, L)","Dakpakha (9084, GRN rec: Yes)","","Asia","BT","No"
"Bhutan","Dzalakha [dzl]","dzl","Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, East Bodish, Bumthang","Sino-Tibetan","Yes","No","22","6a - Vigorous","Dzala (BT, L)Dzalamat (BT, L)Yangtsebikha (BT, L)","Dzalakha (9495, GRN rec: Yes)Dzalakha: Khomakha (9496, GRN rec: No)","Khomakha (09496)","Asia","BT","No"
"Bhutan","Dzongkha [dzo]","dzo","Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Central, Southern","Sino-Tibetan","Yes","No","315,08","1 - National","Thimphu-Punakha (BT, L)Bhotia of Bhutan (BT, L)Bhotia of Dukpa (BT, L)Bhutanese (BT, L)Drokpa (IN, L)Drukha (BT, L)Drukke (BT, L)Drukpa (IN, L)Dukpa (BT, L)Dukpa (IN, L)Hloka (IN, L)Jonkha (BT, L)Lhoskad (IN, L)Zongkhar (BT, L)","Dzongkha (675, GRN rec: Yes)Dzongkha (675, GRN rec: Yes)Dzongkha (675, GRN rec: Yes)Dzongkha: Adap (6677, GRN rec: No)Dzongkha: Adap (6677, GRN rec: No)Dzongkha: Adap (6677, GRN rec: No)Dzongkha: Ha (9503, GRN rec: No)Dzongkha: Ha (9503, GRN rec: No)Dzongkha: Ha (9503, GRN rec: No)Dzongkha: Northern Thimphu (9504, GRN rec: No)Dzongkha: Northern Thimphu (9504, GRN rec: No)Dzongkha: Northern Thimphu (9504, GRN rec: No)Dzongkha: Wang-The (9505, GRN rec: No)Dzongkha: Wang-The (9505, GRN rec: No)Dzongkha: Wang-The (9505, GRN rec: No)","Adap (06677)Ha (09503)Northern Thimphu (09504)Wang-The (09505)","Asia","BT","No"
"Bhutan","Gongduk [goe]","goe","Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish","Sino-Tibetan","Yes","No","2,4","6b - Threatened","Gongdubikha (BT, L)","Gongduk (10304, GRN rec: No)","","Asia","BT","No"
"Bhutan","Bumthangkha [kjz]","kjz","Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, East Bodish, Bumthang","Sino-Tibetan","Yes","No","20","6b - Threatened","Bhumtam (BT, L)Bumtang (BT, L)Bumtangkha (BT, L)Bumtanp (BT, L)Bumthang (BT, L)Bumthapkha (BT, L)Kebumtamp (BT, L)","Bumthangkha (8460, GRN rec: No)Bumthangkha: Chogor (8461, GRN rec: No)Bumthangkha: Chunmat (8462, GRN rec: No)Bumthangkha: Tang (8463, GRN rec: No)Bumthangkha: Ura (8464, GRN rec: No)","Chogor (08461)Chunmat (08462)Tang (08463)Ura (08464)","Asia","BT","No"
"Bhutan","Lhokpu [lhp]","lhp","Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish","Sino-Tibetan","Yes","No","2,61","6b - Threatened","Lhobikha (BT, L)Lokpu (BT, L)Taba-Damey-Bikha (BT, L)","Lhokpu (12922, GRN rec: Yes)","","Asia","BT","No"
"Bhutan","Lakha [lkh]","lkh","Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Central, Southern","Sino-Tibetan","Yes","No","8","6b - Threatened","Tshangkha (BT, L)","Lakha (12702, GRN rec: Yes)","","Asia","BT","No"
