dialect_code,variant_name
00386,Haroi
00386,Middle Bamu
00386,Upper Bamu
00394,Chuj: San Sebastian Coatan
00394,Southern Chuj
00394,S Sebastian Coatan Chuj
00396,Chinese: Shanghai
00396,"Chinese, Wu: Shanghai"
00396,Shanghai Chinese
00396,Suchow
00396,吳語
00396,吴语
00396,"汉, 吴"
00396,"漢, 吳"
00407,Eastern Pocomchi
00407,Eastern Poqomchi
00407,Pocomchi
00407,Pocomchi Sureno
00407,"Pokomchi, Eastern"
00407,Pokomchi: Oriental
00407,Poqomchi': Oriental
00407,Purulha Pocomchi
00407,San Cristobal Verapaz
00407,Southern Pocomchi
00407,Tactic Pocomchi
00407,Tamahu Pocomchi
00407,Tucuru Pocomchi
00415,Karen: Moulmein
00415,"Karen, Pa'o: Moulmein"
00415,Pa'o: Moulmein
00415,Pwo Karen: Moulmein
00415,Tenasserim
00415,กะเหรี่ยงปะโอ เมาะลำเลิง
00424,Baiyer
00424,Enga-Kyaka
00424,Kyaka Enga
00424,Kyaka: Yaramanda
00435,Sambia
00440,Abalin
00440,Ambulas: Maprik: Kalabu
00440,Maprik: Kalabu
00440,Maprik: Kalabu & Jambitanget
00443,Kapan
00444,Abelam
00444,Abulas
00444,Ambulas: Maprik
00448,Achi: Rabinal
00448,Chicaj Achi
00448,Rab'ina:l
00448,Rab'ina:l Achi
00448,Rabinal Achi
00448,Rabinal K'iche'
00448,Salama Achi
00448,S Jeronimo Achi
00448,S Miguel Chicaj Achi
00462,Jate
00468,Angal Heneng: Waola
00468,"Angal Heneng, West: Waola"
00468,Aron
00468,Egnda
00468,Karinj
00468,Kowae te
00468,Nembi
00468,Nembi: Waola
00468,Wala
00468,Waola Group
00480,Lesau
00482,Lisaw
00482,Li-Shaw
00482,Liso
00482,Lisu: Southern
00482,Lu-sher
00482,Lu-shi
00482,Lu-Tzu
00482,Southern Lisu
00482,Thailand Lisu
00482,Yao Yen
00482,Yaw-Yen
00482,Yeh-Jen
00482,लिसु: दक्षिणी
00482,ลีซูใต้
00482,南傈僳語
00482,南傈僳语
00486,"Ixil, Nebaj"
00486,Ixil: Nebaj
00486,Na'b'aj
00487,Lamet
00487,ขะเม็ต
00488,Khamu: Thailand
00488,Khmu
00488,ขมุ ประเทศไทย
00490,"Karen, Pwo: Hod"
00490,Karen: Pwo: Hod
00490,"Karen, Pwo Northern: Omkoi"
00490,Omkoi
00490,Pwo
00490,Pwo: Hod
00490,กะเหรี่ยงโป ฮอด
00491,Daw
00491,Hmong Daw
00491,Hmong: White
00491,Hmong: White Lum
00491,Meo Kao
00491,Meo: White
00491,Meo: White Lum
00491,Miao
00491,Miao: Chuan
00491,Miao: White
00491,White Lum
00491,White Meo
00491,ม้งขาว
00491,赫蒙兜
00492,Blue Meo
00492,Hmong: Blue
00492,"Hmong, Njua"
00492,Hmong Njua: Tak Miao
00492,Meo: Blue
00492,Meo Lai
00492,Miao
00492,Miao: Blue
00492,Striped Miao
00492,ม้งเขียว
00492,赫蒙巨額
00492,赫蒙巨额
00494,Mam
00500,Basilaki
00500,Bohira'i
00500,Bwasilaki
00500,Tavara: Bwasilaki
00500,Tawala: Bassilaki
00500,Tawala: Bohilai
00500,Tawala: Bohira'i
00500,Tawala: Bwasilaki
00502,Ewage-Notu
00502,Notu
00505,Goaribari
00505,Kerewa
00505,Kerewa-Goar
00505,Kerewa-Goari
00505,Kerewo
00505,Kerewo: Gibario
00505,Kerowa
00507,"Chinese, Min Pei: Hockchia"
00507,Hockchew
00507,Hokchia
00507,闽北
00508,Chinese Shan
00508,Chinese Tai
00508,Dai Kong
00508,Dai Na
00508,Dai Nuea
00508,Dehong
00508,Dehong Dai
00508,Tai Dehong
00508,Tai-Kong
00508,Tai Le
00508,Tai-Le
00508,Tai Mao
00508,Tai Neua
00508,Tai Nü
00508,Tai Nua
00508,Tai Nua: Dehong
00508,Tai Nüa: Dehong
00508,Tai Nua: Tai Pong
00508,Tai Nüa: Tai Pong
00508,Tai Nüa: Ya
00508,Tai Nua: Yongren
00508,Tai Nüa: Yongren
00508,Tai Nue
00508,Tai Ya
00508,Yunannese Shan
00508,Yunnan Shant'ou
00508,ไทหย่า
00508,傣雅語
00508,傣雅语
00508,雅
00512,Olo
00512,Orlei
00512,Wape
00512,Wapi & Wapi: West
00515,Bahenemo
00515,Bahinemo
00515,Gahom
00515,Inaru
00515,Wogu
00515,Yigai
00516,Tumleo
00518,Ali: Yakamul
00519,Abau
00519,Abau: Upriver
00519,Oriyai
00519,Upriver Abau
00519,Up-River Abau
00519,Абау
00522,Belerupu
00522,Vilirupu
00526,Tami
00531,Mahaxay
00531,So: Mahaxay
00531,So: Nhommarath
00531,โซ่ ญมมะลาด
00538,Sinagoro: Taboro
00538,Sinaugoro: Taboro
00539,Dilava
00539,Fuyuge
00539,Fuyuge: Dilava River
00539,Fuyughe
00539,Mafufu
